No	Name	Acceptance	Difficulty
363	Max Sum of Rectangle No Larger Than K	27.3%	Hard
358	Rearrange String k Distance Apart	27.1%	Hard
354	Russian Doll Envelopes	27.4%	Hard
352	Data Stream as Disjoint Intervals	36.1%	Hard
340	Longest Substring with At Most K Distinct Characters	38.2%	Hard
336	Palindrome Pairs	20.8%	Hard
335	Self Crossing	20.7%	Hard
330	Patching Array	29.9%	Hard
329	Longest Increasing Path in a Matrix	32.5%	Hard
327	Count of Range Sum	27.1%	Hard
321	Create Maximum Number	21.7%	Hard
317	Shortest Distance from All Buildings	32.0%	Hard
316	Remove Duplicate Letters	25.8%	Hard
315	Count of Smaller Numbers After Self	31.4%	Hard
312	Burst Balloons	38.1%	Hard
308	Range Sum Query 2D - Mutable	21.4%	Hard
305	Number of Islands II	35.1%	Hard
302	Smallest Rectangle Enclosing Black Pixels	40.1%	Hard
301	Remove Invalid Parentheses	32.6%	Hard
297	Serialize and Deserialize Binary Tree	28.6%	Hard
296	Best Meeting Point	48.0%	Hard
295	Find Median from Data Stream	22.2%	Hard
291	Word Pattern II	35.5%	Hard
287	Find the Duplicate Number	39.5%	Hard
282	Expression Add Operators	25.7%	Hard
273	Integer to English Words	19.3%	Hard
272	Closest Binary Search Tree Value II	34.7%	Hard
269	Alien Dictionary	23.8%	Hard
265	Paint House II	35.8%	Hard
248	Strobogrammatic Number III	27.9%	Hard
239	Sliding Window Maximum	28.4%	Hard
233	Number of Digit One	25.3%	Hard
224	Basic Calculator	23.0%	Hard
218	The Skyline Problem	23.2%	Hard
214	Shortest Palindrome	20.4%	Hard
212	Word Search II	20.2%	Hard
188	Best Time to Buy and Sell Stock IV	22.8%	Hard
174	Dungeon Game	21.4%	Hard
164	Maximum Gap	27.2%	Hard
159	Longest Substring with At Most Two Distinct Characters	35.8%	Hard
158	Read N Characters Given Read4 II - Call multiple times	23.7%	Hard
154	Find Minimum in Rotated Sorted Array II	34.8%	Hard
149	Max Points on a Line	14.6%	Hard
146	LRU Cache	15.8%	Hard
145	Binary Tree Postorder Traversal	36.1%	Hard
140	Word Break II	20.3%	Hard
138	Copy List with Random Pointer	26.1%	Hard
135	Candy	22.8%	Hard
132	Palindrome Partitioning II	22.2%	Hard
128	Longest Consecutive Sequence	32.9%	Hard
126	Word Ladder II	13.7%	Hard
124	Binary Tree Maximum Path Sum	23.7%	Hard
123	Best Time to Buy and Sell Stock III	26.8%	Hard
117	Populating Next Right Pointers in Each Node II	33.0%	Hard
115	Distinct Subsequences	29.2%	Hard
99	Recover Binary Search Tree	27.0%	Hard
97	Interleaving String	22.8%	Hard
87	Scramble String	26.9%	Hard
85	Maximal Rectangle	23.9%	Hard
84	Largest Rectangle in Histogram	24.5%	Hard
76	Minimum Window Substring	21.7%	Hard
72	Edit Distance	29.1%	Hard
68	Text Justification	16.5%	Hard
65	Valid Number	12.2%	Hard
57	Insert Interval	24.3%	Hard
56	Merge Intervals	26.0%	Hard
52	N-Queens II	40.1%	Hard
51	N-Queens	26.5%	Hard
45	Jump Game II	25.5%	Hard
44	Wildcard Matching	17.8%	Hard
42	Trapping Rain Water	32.8%	Hard
41	First Missing Positive	24.1%	Hard
37	Sudoku Solver	25.6%	Hard
33	Search in Rotated Sorted Array	30.7%	Hard
32	Longest Valid Parentheses	22.6%	Hard
30	Substring with Concatenation of All Words	21.1%	Hard
25	Reverse Nodes in k-Group	28.0%	Hard
23	Merge k Sorted Lists	23.9%	Hard
10	Regular Expression Matching	22.4%	Hard
4	Median of Two Sorted Arrays	19.1%	Hard
