No	Name	Acceptance	Difficulty
370	Range Addition	49.7%	Medium
369	Plus One Linked List	50.4%	Medium
368	Largest Divisible Subset	32.0%	Medium
367	Valid Perfect Square	36.5%	Medium
366	Find Leaves of Binary Tree	54.3%	Medium
365	Water and Jug Problem	20.1%	Medium
364	Nested List Weight Sum II	47.1%	Medium
362	Design Hit Counter	48.2%	Medium
361	Bomb Enemy	32.3%	Medium
360	Sort Transformed Array	40.7%	Medium
357	Count Numbers with Unique Digits	42.5%	Medium
356	Line Reflection	28.6%	Medium
355	Design Twitter	22.2%	Medium
353	Design Snake Game	21.6%	Medium
351	Android Unlock Patterns	34.0%	Medium
348	Design Tic-Tac-Toe	43.3%	Medium
347	Top K Frequent Elements	43.0%	Medium
343	Integer Break	41.9%	Medium
341	Flatten Nested List Iterator	30.5%	Medium
338	Counting Bits	57.2%	Medium
337	House Robber III	38.2%	Medium
334	Increasing Triplet Subsequence	34.8%	Medium
333	Largest BST Subtree	26.9%	Medium
332	Reconstruct Itinerary	25.1%	Medium
331	Verify Preorder Serialization of a Binary Tree	32.5%	Medium
328	Odd Even Linked List	39.2%	Medium
325	Maximum Size Subarray Sum Equals k	40.1%	Medium
324	Wiggle Sort II	23.1%	Medium
323	Number of Connected Components in an Undirected Graph	43.4%	Medium
322	Coin Change	25.2%	Medium
320	Generalized Abbreviation	41.2%	Medium
319	Bulb Switcher	41.2%	Medium
318	Maximum Product of Word Lengths	40.1%	Medium
314	Binary Tree Vertical Order Traversal	31.5%	Medium
313	Super Ugly Number	35.2%	Medium
311	Sparse Matrix Multiplication	47.8%	Medium
310	Minimum Height Trees	27.2%	Medium
309	Best Time to Buy and Sell Stock with Cooldown	37.5%	Medium
307	Range Sum Query - Mutable	18.0%	Medium
306	Additive Number	26.1%	Medium
304	Range Sum Query 2D - Immutable	22.3%	Medium
300	Longest Increasing Subsequence	35.1%	Medium
298	Binary Tree Longest Consecutive Sequence	37.4%	Medium
294	Flip Game II	42.2%	Medium
289	Game of Life	35.0%	Medium
286	Walls and Gates	38.4%	Medium
285	Inorder Successor in BST	35.8%	Medium
284	Peeking Iterator	34.0%	Medium
281	Zigzag Iterator	44.0%	Medium
280	Wiggle Sort	50.6%	Medium
279	Perfect Squares	33.5%	Medium
277	Find the Celebrity	35.1%	Medium
275	H-Index II	32.9%	Medium
274	H-Index	30.0%	Medium
271	Encode and Decode Strings	27.3%	Medium
268	Missing Number	41.1%	Medium
267	Palindrome Permutation II	28.4%	Medium
264	Ugly Number II	29.1%	Medium
261	Graph Valid Tree	33.5%	Medium
260	Single Number III	45.2%	Medium
259	3Sum Smaller	38.7%	Medium
256	Paint House	43.4%	Medium
255	Verify Preorder Sequence in Binary Search Tree	37.5%	Medium
254	Factor Combinations	35.8%	Medium
253	Meeting Rooms II	35.4%	Medium
251	Flatten 2D Vector	35.0%	Medium
250	Count Univalue Subtrees	37.4%	Medium
247	Strobogrammatic Number II	35.0%	Medium
245	Shortest Word Distance III	46.7%	Medium
244	Shortest Word Distance II	35.6%	Medium
241	Different Ways to Add Parentheses	36.5%	Medium
240	Search a 2D Matrix II	35.2%	Medium
238	Product of Array Except Self	43.8%	Medium
236	Lowest Common Ancestor of a Binary Tree	28.8%	Medium
230	Kth Smallest Element in a BST	38.8%	Medium
229	Majority Element II	26.2%	Medium
228	Summary Ranges	25.1%	Medium
227	Basic Calculator II	26.0%	Medium
222	Count Complete Tree Nodes	25.7%	Medium
221	Maximal Square	24.3%	Medium
220	Contains Duplicate III	19.0%	Medium
216	Combination Sum III	37.3%	Medium
215	Kth Largest Element in an Array	34.2%	Medium
213	House Robber II	31.4%	Medium
211	Add and Search Word - Data structure design	20.2%	Medium
210	Course Schedule II	21.5%	Medium
209	Minimum Size Subarray Sum	27.4%	Medium
208	Implement Trie (Prefix Tree)	25.4%	Medium
207	Course Schedule	27.8%	Medium
201	Bitwise AND of Numbers Range	31.3%	Medium
200	Number of Islands	28.6%	Medium
199	Binary Tree Right Side View	35.6%	Medium
187	Repeated DNA Sequences	26.4%	Medium
186	Reverse Words in a String II	29.0%	Medium
179	Largest Number	19.7%	Medium
173	Binary Search Tree Iterator	35.5%	Medium
167	Two Sum II - Input array is sorted	48.7%	Medium
166	Fraction to Recurring Decimal	15.6%	Medium
163	Missing Ranges	29.8%	Medium
162	Find Peak Element	33.4%	Medium
161	One Edit Distance	28.9%	Medium
156	Binary Tree Upside Down	38.9%	Medium
153	Find Minimum in Rotated Sorted Array	36.8%	Medium
152	Maximum Product Subarray	22.7%	Medium
151	Reverse Words in a String	15.7%	Medium
150	Evaluate Reverse Polish Notation	24.1%	Medium
148	Sort List	25.5%	Medium
147	Insertion Sort List	30.0%	Medium
